Week,ServiceDepartment,CallVolume
1,Credit Card,5699
1,Personal Loan,3339
2,Credit Card,5729
2,Personal Loan,3588
3,Credit Card,5553
3,Personal Loan,3324
4,Credit Card,5315
4,Personal Loan,3115
5,Credit Card,4906
5,Personal Loan,3081
6,Credit Card,4907
6,Personal Loan,2930
7,Credit Card,5048
7,Personal Loan,2713
8,Credit Card,4655
8,Personal Loan,2915
9,Credit Card,4797
9,Personal Loan,3047
10,Credit Card,4818
10,Personal Loan,2788
11,Credit Card,5293
11,Personal Loan,2966
12,Credit Card,5013
12,Personal Loan,2786
13,Credit Card,4891
13,Personal Loan,3016
14,Credit Card,4769
14,Personal Loan,3056
15,Credit Card,4879
15,Personal Loan,2956
16,Credit Card,4879
16,Personal Loan,3277
17,Credit Card,4997
17,Personal Loan,2841
18,Credit Card,5164
18,Personal Loan,2816
19,Credit Card,5041
19,Personal Loan,2706
20,Credit Card,4734
20,Personal Loan,3029
21,Credit Card,5147
21,Personal Loan,3025
22,Credit Card,4976
22,Personal Loan,2954
23,Credit Card,4704
23,Personal Loan,2892
24,Credit Card,4907
24,Personal Loan,3158
25,Credit Card,5068
25,Personal Loan,2735
26,Credit Card,4714
26,Personal Loan,2732
27,Credit Card,4514
27,Personal Loan,2881
28,Credit Card,4856
28,Personal Loan,2929
29,Credit Card,4482
29,Personal Loan,2743
30,Credit Card,4716
30,Personal Loan,2936
31,Credit Card,4904
31,Personal Loan,2972
32,Credit Card,4778
32,Personal Loan,2820
33,Credit Card,5162
33,Personal Loan,3203
34,Credit Card,4985
34,Personal Loan,3150
35,Credit Card,5072
35,Personal Loan,2903
36,Credit Card,5072
36,Personal Loan,3230
37,Credit Card,4992
37,Personal Loan,3234
38,Credit Card,4476
38,Personal Loan,3123
39,Credit Card,5017
39,Personal Loan,2955
40,Credit Card,5018
40,Personal Loan,2701
41,Credit Card,4956
41,Personal Loan,3053
42,Credit Card,5295
42,Personal Loan,2922
43,Credit Card,4838
43,Personal Loan,2924
44,Credit Card,5183
44,Personal Loan,3049
45,Credit Card,4894
45,Personal Loan,3076
46,Credit Card,5019
46,Personal Loan,3145
47,Credit Card,4859
47,Personal Loan,2950
48,Credit Card,4921
48,Personal Loan,2780
49,Credit Card,5059
49,Personal Loan,3039
50,Credit Card,5001
50,Personal Loan,2964
51,Credit Card,3216
51,Personal Loan,2036
52,Credit Card,2031
52,Personal Loan,1139
